Variable,Diemsion Name,Frequently Used,Paired Event,Description,Example,Notes,DataFeed
eVar27,Gallery (v27),No,Gallery (e27),Collects various interaction data of gallery area,"eVar27=“product gallery:gallery:image”
eVar27=“product gallery:gallery:video”
eVar27=“product gallery:gallery:360view”
eVar27=""feature gallery:at home in your home:image1""
eVar27=""feature gallery:gallery:video2:play video""",-,post_evar27
eVar28,Compare (v28),No,Compare (e28),Collects click action data for compare feature ,"eVar28=“<product code>” (product code, delimiter “^”)

<In case of click on ""Difference  or ALL"">
eVar28=“<difference/all>:<product code>^<product code>” (product code, delimiter “^”)",-,post_evar28
eVar29,Social Share (v29),No,Social Share (e29),"Collects  Social share / follow action data when social network icon is clicked in P5
Used in both web and mobile app. If data collects in app, 'app' is added as a prefix. ","eVar29 =""follow:facebook""
eVar29 =""share:facebook""",-,post_evar29
eVar30,Request Submit (v30),No,Request Submit (e30),Collects various types of request submit button click data such as support FAQ satisfaction survey submit button and floating chat satisfaction survey submit button,"[Support Help Content Satisfaction Survey]
eVar30=“au:satisfaction survey:faq:1063160:helpful:na:very satisfied with the helpful information”

[Floating Chat Satisfaction Survey]
eVar30=""floating chat:product&promotions:survey:q1_5stars:q2_no comment_submit""",-,post_evar30
eVar31,Account (v31),Yes,Account (e31),"Account (v31) is used to collect interaction data related to user account activities. This includes actions taken within account-related pages or account-specific menus, such as login/logout or interactions with the wishlist.
*After a successful login, the action tracking call is triggered once the page has loaded.","eVar31=“gnb:login”
eVar31=“gnb:logout” 
eVar31=“wishlist:add to wishlist”
eVar31=“wishlist:remove from wishlist”
eVar31=“wishlist:continue shopping”
eVar31=“login:success:samsung account”",-,post_evar31
eVar32,Download (v32),No,"Download (e32)
Download-B2B (e33)",Collects downloaded file name data,"eVar32=“Samsung_Magician_Installer.zip""
eVar32=“Samsung Data Migration Setup.exe""
eVar32=“Samsung_NVM_Express_Driver_3.3.exe""
eVar32=“7508832""
eVar32=“Samsung_NVMeDriver_InstallationGuide.pdf""",-,post_evar32
eVar33,Microsite (v33),Yes,Microsite (e45),Microsite (v33) is used to capture user interaction data specifically within microsites and locally developed campaign pages.,"eVar33=""nl:welcome:search-bar:click""
eVar33=""nl:welcome:search-bar:submit:click""
eVar33=""ru:shop-offer-popup:close-button""
eVar33=""nbr:campaign:seda:suacasa:home:comodos:scroll""
eVar33=""sec:bespoke_experience:EXPclick_start""",-,post_evar33
eVar34,Support Contents (v34),No,Support contents (e34),Collects click action data for support contents and features ,"eVar34=""contact us:live chat""
eVar34=""downloads:select your product_step1:computing""
eVar34=""download center_step2:notebook""
eVar34=""contact us:online_learn more""
eVar34=""send an email:technical support""",-,post_evar34
eVar35,Purchase Intention (v35),Yes,"Purchase Intention (e35)
Buy Online Retailer (e55)",Purchase Intention (v35) is used to track user intent to purchase by capturing click actions related to buying activities.,"eVar35=“buy now”
eVar35=“where to buy”
eVar35=""buy online""
eVar35=“stock alert”",-,post_evar35
eVar36,eCommerce - Unspecified (v36),Yes,eCommerce - Unspecified (v36)  Instances,"eCommerce - Unspecified (v36) is used to track user interactions throughout the checkout process, providing visibility into how users move through the various checkout steps before completing a purchase.","eVar36=""cart:proceed to checkout""
eVar36=""checkout:delivery option:next""
eVar36=""checkout:customer details:continue to delivery options""
eVar36=""checkout:payment:pay now""",-,post_evar36
eVar37,eCommerce - Payment Method (v37),Yes,"Checkouts (event), Order (purchase event)","eCommerce - Payment Method (v37) is used to collect the selected payment method in shop pages. This variable is triggered during both the checkout event and the final purchase event.
The eVar37 variable can have different values for the checkout and order events.","eVar37=“credit card”
eVar37=“paypal”
eVar37=“samsung finance”
eVar37=“cash on delivery”",-,post_evar37
eVar38,Content ID/Name (v38),No,Content ID/Name (v38) Instances,"Collects  Content ID or Page ID for offer detail pages, explore detail pages, B2B insight detail pages, B2B Solution Detail pages, etc.","eVar38=""offer:d199dd57f7383df98cd6de2c8f6d0c10c1a5e8e8d4a4d7aab2523b8a22496fa8""
eVar38=""solution:system-air-conditioner-solutions:c80537b79c41d59f1ba0686f6f9377a8c7ec9736fb290360f3f4ee41e425e5d5""
eVar38=""explore:d199dd57f7383df98cd6de2c8f6d0c10c1a5e8e8d4a4d7aab2523b8a22496fa8""",-,post_evar38
eVar39,URL (v39),Yes,URL (v39) Instances,"The URL (v39) Captures the full URL of the current page when each page is loaded. This includes the domain, path, and any query parameters that may be present in the URL.","eVar39=""https://www.samsung.com/uk/smartphones/all-smartphones/?galaxy-s+256gb""
eVar39=""https://eu.community.samsung.com/t5/other-smartphones/one-ui-7-with-android-15-list-of-eligible-galaxy-devices/td-p/11506136""",-,post_evar39
eVar40,PageName (v40),Yes,PageName (v40) Instances,"PageName (v40) is used to collect the unique page name when each page is loaded. This variable provides a clear and structured name for each page, making it easier to understand where user actions occurred during analysis.","eVar40=""uk:home""
eVar40=""uk:mobile:smartphones""
eVar40=""uk:mobile:smartphones:galaxy s:galaxy-s25-ultra:buy""
eVar40=""uk:shop:cart""
eVar40=""uk:shop:mypage""",-,post_evar40
eVar41,Model Code (v41),Yes,"Cart Add (event), Checkouts (event), Order (purchase event)","Model Code (v41) is used to collect the product's model code, also referred to as SKU. In cases where multiple products are purchased in a single order, they are generated as a comma-separated list","eVar41=""SM-G988BZADEUB	""
eVar41=""SM-S938BAKDEUB""""

#Multiple Products
eVar41=""SM-S931BZDGEUB,SM-R530NZAAEUA,TRADE-IN""",-,post_evar41
eVar42,Document Referrer (v42),No,Page Views,"Document Referrer (v42)  is used to capture the referring domain of the current page when it's loaded. This variable helps identify where the user came from before landing on the current page (e.g., another website, search engine, etc.).
It is primarily used in Marketing Channel Processing Rules to detect natural (organic) search traffic.","eVar42=""https://www.google.com/""
eVar42=""http://m.facebook.com/""",-,post_evar42
eVar43,Clicktale ID (v43),No,Clicktale ID (v43) Instances,Local used variable for specific purposes ,"eVar43=""1797016447221844.76""",Specific RS Only: EU Subs,post_evar43
eVar44,Filter and Sort (v44),Yes,Filter and Sort (e44),Filter and Sort (v44) is used to collect user interaction data related to filtering and sorting functions on product listing or search result pages.,"eVar44=“sort:newest”
eVar44=“tag filter:lorem ipsum”
eVar44=“filter:type”
eVar44=“filter:open”
eVar44=“filter:type:full hd certified tvs”",-,post_evar44
eVar45,B2B Contents (v45),No,B2B contents (e54),Collects click action data for B2B content and features ,"eVar45=""home_powerful products:galaxy s20 ultra""
eVar45=""business industry landing:indoor:wind-free™_learn more""
eVar45=""home_industry:retail""
eVar45=""pd:documentation_download""
eVar45=""home_powerful products:smartphones""",-,post_evar45
eVar46,Scroll (v46),Yes,Scroll (e46),"Scroll (v46) is used to track scroll depth as users scroll down the page. This variable helps identify how far users engage with the content vertically. ""scroll:100"" is not triggered if the footer is visible without scrolling.
*Product Detail: 25,50,75,100
*MX Flagship pd: 3,5,7,10,20,...,100
*Other page(Home, Flagship Buy, PF,...): 100","eVar46=""scroll:3""
eVar46=""scroll:5""
eVar46=""scroll:25""
eVar46=""scroll:50""
eVar46=""scroll:75""
eVar46=""scroll:100""",-,post_evar46
eVar47,B2B Search (v47),No,B2B Search (e47),Collects B2B search keywords which have search result,"eVar47=""<search keyword>""",-,post_evar47
eVar48,Home Content Click (v48),Yes,Home Content Click (e48),Home Content Click (v48) is used to capture click interactions on home page content modules. This variable is specifically scoped to homepage elements only. Clicks that occur outside of the homepage should be captured using other variables such as Content Click (v26). It helps measure engagement with key content elements surfaced on the homepage.,"eVar48=“kv1:galaxy s20 ultra 5g:button2:learn more:20200302”
eVar48=“product marketing:im:galaxy z flip”
eVar48=“merchandising:mobile:im:galaxy z flip thom browne edition”
eVar48=“exlplore slider:the real millie bobby brown:eyebrow:samsung within”
eVar48=“popular search:keyword submit”",-,post_evar48
eVar49,Undefined,Yes,AF - Media Source (v49) Instances,"AF - Media Source (v49) captures the mobileadnetwork field, which is populated via AppsFlyer postback data using the pid parameter. This parameter identifies the source media platform and the captured value is used to classify traffic sources for attribution and performance analysis.",,-,
eVar50,PurchaseID (v50),Yes,Order (purchase event),"PurchaseID (v50) captures the unique Purchase ID (or Order Number) for each completed transaction on Samsung.com. Each order is associated with one unique Purchase ID, which allows precise tracking of transactions and linkage with backend sales data (e.g., from Hybris). 
eVar50 starts capturing data when the user lands on the cart page.
*This variable contains a large number of unique values, so it is likely to be classified as “Low Traffic” in Adobe Analytics.","eVar50=""de180902-17064715""
eVar50=""11058331016""
eVar50=""UK3636994738""",-,post_evar50
eVar51,Opinion Lab- Survey Tab Click (v51),No,Opinion Lab- Survey Tab Click (v51) Instances,Collects Opinion Lab feedback bab click action data,"eVar51=""ol survey tab click""",-,post_evar51
eVar52,Opinion Lab- Survey Completion (v52),No,Opinion Lab- Survey Completion (v52) Instances,Collects data when Opinion Lab survey is completed,"eVar52=""ol results survey thank you page""",-,post_evar52
eVar53,Cart ID (v53),No,Cart ID (v53) Instances,"Collects cart ID data when cart, checkout, order confirmation page is loaded","eVar53=""27819457-7885-469f-b5bc-e672d11bea12""
eVar53=""00966b14-7c15-4c0a-888d-62c040e44052""","Specific RS Only: IN, EE,  LV,  LT, ID, PL, RO, PH, AE, AE_AR, SK, CZ, UK, BE, BE_FR,  NL, FR,  DE, MST, MST(dev), TEST",post_evar53
eVar54,Sale/Non Sale Product (v54),No,Sale/Non Sale Product (v54) Instances,"Collects the data whether the product is sold in Shop or not when PDP is loaded
If there is no Shop API to distinguish sale / no sale data, please collect tagging value as 'null'","eVar54=""sale""
eVar54=""no sale""
eVar54=""null""",-,post_evar54
eVar55,eCommerce - Program (v55),No,Order (purchase event),Collects data whether Shop Benefit Program is applied or not when users make purchase,"eVar55=""trade in_yes:samsung mobile care_no:upgrade programme_no"" ",-,post_evar55
eVar56,eCommerce - Order Status (v56),No,Order (purchase event),"Collect order status data when shop (platform) data is integrated (ES La caixa payment, UK specific)",eVar56=“payment not authorized”,"Specific RS Only: ES, UK, RU, MST, MST(dev), TEST",post_evar56
eVar57,AC - Campaign ID (v57),No,AC - Campaign ID (v57) Instances,Email Delivery's internal name as seen in Adobe Campaign.,"eVar57=""samDM20553""
eVar57=""samDM19794""","Specific RS Only: JP, CIS & LATAM (RU, KZ_RU, KZ_KZ, UA, UA_RU, UZ, UZ_RU, AR, PY, UY, BR, CL, CO, LATIN, LATIN_EN, PE, MX), MST, MST(dev), TEST",post_evar57
eVar58,AC - Broadlog ID (v58),No,AC - Broadlog ID (v58) Instances,-,"eVar58=""1072811211""
eVar58=""1128953661""","Specific RS Only: JP, CIS & LATAM (RU, KZ_RU, KZ_KZ, UA, UA_RU, UZ, UZ_RU, AR, PY, UY, BR, CL, CO, LATIN, LATIN_EN, PE, MX), MST, MST(dev), TEST",post_evar58
eVar59,Platform Order Number (v59),No,Order (purchase event),Collects Purchase ID data for each order when shop (platform) data is integrated,"eVar59=""uk180902-17064715""","Created : 19. 01. 24
Specific RS Only: UK, Test",post_evar59
eVar60,Origin Platform (v60),Yes,Origin Platform (v60) Instances,Origin Platform (v60) is used as a correction field to more accurately determine whether the session is truly from a shop app.,"eVar60=""app""","Origin Platform (v60) is used only when the platform is confidently identified as ""app"". If the platform cannot be reliably verified as app-based, eVar60 remains empty.
Created : 24.11.04 ",post_evar60
eVar61,Site Search- Popular Keyword (v61),No,Seach Result Click (e11),Collects search related click action data in search layer drop box and search result page,"eVar61=“search layer:search history:<keyword>”
eVar61=“search layer:suggested searches:galaxy buds”
eVar61=“search layer:related searches:galaxy s20”
eVar61=“search layer:matched contents:support:[galaxy note9] update galaxy apps”
eVar61=“search result click:all:product:product click:page1:result1”",-,post_evar61
eVar62,Campaign Search Keyword (v62),No,Campaign Search Keyword (v62) Instances,Local used variable for specific purposes which collects campaign search keyword ,"eVar62=""smartwatch""
eVar62=""samsung.nl""
eVar62=""samsung ophaalservice""
eVar62=""samsung reparatie service""
eVar62=""samsung""","Specific RS Only: NL, BE, BE_FR, MST, MST(dev), TEST",post_evar62
eVar63,Visitor ID (v63),Yes,"Unique Visitor, Visits","Visitor ID (v63) captures the Visitor ID, a persistent identifier assigned by the Adobe web server when a user visits the site. This ID is commonly based on the Experience Cloud ID (ECID).
*This variable contains a large number of unique values, so it is likely to be classified as “Low Traffic” in Adobe Analytics.","eVar63=""01969343649642537292398364845721107085""
eVar63=""72204423848786642493025059164702060513""","*key feature
- Persistence: The Visitor ID remains consistent across visits as long as the user’s browser retains the relevant cookies.
- Cookie Deletion Impact: If a user clears their cookies, a new ECID is generated, resulting in a new Visitor ID. In this case, Adobe Analytics treats the same user as a new visitor, and any previous tracking continuity is lost.
- Dependency on ECID: The Visitor ID (v63) is only populated if the ECID exists on the page. If the ECID is missing or improperly set (e.g., via a custom or non-standard implementation), the v63 value may not be collected.

* To be compliant with GDPR and CNIL, data is collected as 'no consent' unless users consent to the deposit of tracers by a clear positive act (such as clicking on ""I accept"" in a cookie banner) in FR, FR EPP sites.",post_evar63
eVar64,UID (v64),Yes,"Unique Visitor, Visits","UID (v64) collects Samsung Account GUID when a user is logged in with their Samsung Account. This variable is used in both web and mobile app. Once collected, the login UID is stored and maintained for 90 days.
*This variable contains a large number of unique values, so it is likely to be classified as “Low Traffic” in Adobe Analytics.","eVar64=""s1ohx665kt""
eVar64=""1zpb4g6usb""","* To be compliant with GDPR and CNIL, data is collected as 'no consent' unless users consent to the deposit of tracers by a clear positive act (such as clicking on ""I accept"" in a cookie banner) in FR, FR EPP sites.",post_evar64
eVar65,Local UID (v65),No,"Unique Visitor, Visits","Collects data which is contained a URL parameter defined by subs
- FR : uid
- NL, BE, BE_FR : sci
- RU : cui","If the entry URL is 'www.samsung.com/fr/?uid=2106635108',
eVar65=""2106635108""","Specific RS Only: NL, BE, BE_FR, RU, FR, MST, MST(dev), TEST",post_evar65
eVar66,Local Campaign Type (v66),No,Local Campaign Type (v66) Instances,Local requested specific variable (only s_code),"eVar66=""seo""
eVar66=""dir""
eVar66=""ref""
eVar66=""email""
eVar66=""seo>ref>seo""","Specific RS Only: NL, BE, BE_FR, RU, FR, MST, MST(dev), TEST",post_evar66
eVar67,Hashed GCRM ID (v67),No,Hashed GCRM ID (v67) Instances,"Created to collect GCRM hashed ID which is contained a URL parameter, named samid.
In case of AU and TH, collects hashed ID (encrypted) from cookie exceptionally
* To be compliant with GDPR and CNIL, data is collected as 'no consent' unless users consent to the deposit of tracers by a clear positive act (such as clicking on ""I accept"" in a cookie banner) in FR, FR EPP sites.","If the entry URL is 'www.samsung.com/uk/?samid=0x114705293C69EECEFEF0F29A15C8D33E6676FE44343FE77514E9D694EA8',
eVar67=""0x114705293C69EECEFEF0F29A15C8D33E6676FE44343FE77514E9D694EA8""",-,post_evar67
eVar68,Review (v68),No,Review (e68),Collects reivew related content interactions ,"eVar68=“read review”
eVar68=""write review""
eVar68=“search:galaxy”
eVar68=“helpful:yes”
eVar68=“rating filter:1star”",-,post_evar68
eVar69,Personalization (v69),No,Personalization (v69) Instances,Local used variable for specific purposes regarding personalization,"eVar69=""pzn_galaxy_s8_subnav_specs_b""
eVar69=""pzn_smartphone_product_images_not_clickable_a""","Specific RS Only: AE, AE_AR, UK, DE, ES,  FR,  SE, PL, NO,  NL,FI,  DK,  MST, MST(dev), TEST",post_evar69
eVar70,ePromoter Agent ID (v70),No,ePromoter Agent ID (v70) Instances,Collects ePromoter agent ID ,"eVar70=""369416559393""
eVar70=""Pratham""","Created : 18. 06. 20
Specific RS Only: AE, AE_AR, AU, BR, CA, CA_FR, CN, ES, FR, ID, IN, LATIN, LATIN_EN, MY, NZ, PH, PL, SG, TH, TR, TW, VN, MST, MST(dev), TEST",post_evar70
eVar71,Client ID (v71),No,Client ID (v71) Instances,"Collects Client ID, created by google analytics cookie to identify an unique user.","eVar71=""1069276447.1588299718""
eVar71=""748320611.1587390471""","Created : 19. 11. 15
Specific RS Only: TEST, TH, EU Subs, MST, MST (dev)",post_evar71
eVar72,Jet - Campaign ID (v72),No,Jet - Campaign ID (v72) Instances,"Created to collect Jet Campaign ID which is contained a URL parameter, named jetid.
* Jet: Local CRM operator",-,"Created : 19. 04. 04
Specific RS Only: MST, MST (dev), TEST, RU, JP",post_evar72
eVar73,Multistore ID/Name (v73),Yes,Multistore ID/Name (v73) Instances,"Multistore ID/Name (v73) collects the multistore name (e.g., employee) when a user visits a multistore version of the site. This data is captured across both AEM pages and Shop pages within the multistore environment.","eVar73=""corporate""
eVar73=""employee""
eVar73=""students""
eVar73=""networks""",Created : 18. 10. 07,post_evar73
eVar74,Search Ads 360 (Click ID) (v74),No,Search Ads 360 (Click ID) (v74) Instances,"Collects a Google click ID which is contained a URL parameter, named gclid, to integrate AA on-site data with Google Search Ads.","eVar74=""EAIaIQobChMI76-f_ey33AIVAaaaCh0V2AlUEAAYASAAEgIupvD_BwE""","Specific RS Only: PL, FR, NL, BE, BE_FR, MST, MST(dev), TEST",post_evar74
eVar75,Target Marketing (v75),No,Target Marketing (e75),Collects device detection target marketing data such as floating banner display and banner click,"eVar75=""galaxys6:barshade:galaxy device:display""
eVar75=""support home:floatingbanner:apple:display""",-,post_evar75
eVar76,Star Rating (v76),No,Star Rating (v76) Instances,Collects star rating scores in review (PD19 Component),-,-,post_evar76
eVar77,SEO Keyword (v77),No,SEO Keyword (v77) Instances,Created to integrate Adobe Analytics with seoClarity by Data Connectors,-,"Specific RS Only: EU (AL, AT, BE, BE_FR, BG, CH, CH_FR, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LV, MK, NL, NO, PL, PT, RO, RS, SE, SI, SK, UK), MST, MST(dev), TEST",post_evar77
eVar78,SEO Landing Page URL (v78),No,SEO Landing Page URL (v78) Instances,Created to integrate Adobe Analytics with seoClarity by Data Connectors,"eVar78=""https://www.samsung.com/sec/""
eVar78=""https://www.samsung.com/br/""","Specific RS Only: EU (AL, AT, BE, BE_FR, BG, CH, CH_FR, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LV, MK, NL, NO, PL, PT, RO, RS, SE, SI, SK, UK), MST, MST(dev), TEST",post_evar78
eVar79,Trade-in Device (v79),No,Trade-in Device (v79) Instances,"The Trade-in Device (v79) collects information in the format <brand>_<device>, representing the brand and model of the trade-in device selected by the user. The data is captured on the GPv2 platform and is specifically triggered when a purchase event occurs.","eVar79=""Apple_iPhone XS - 512 GB""
eVar79=""Samsung_Galaxy S7 Edge | 32 Go""",Created : 19. 07. 19,post_evar79
eVar80,App Link Name (v80),Yes,App Link Name (v80) Instances,"App Link Name (v80) includes all native app event type data. The App Link Name is fired when user clicks CTA or makes screen view, widget view etc.","eVar80=""Home""
eVar80=""click_widget""
eVar80=""ViewWidget""
eVar80=""screen_view""",Created : 19. 01. 02,post_evar80
