Variable,Metric Name,Frequently Used,Description,Notes,DataFeed,DataFeed Notes
event60,Email Person Clicks (e60),No,Used for CIS & LATAM Region Campaign - AA integration which counts the number of person who have clicked ,"Specific RS Only: JP, CIS & LATAM (RU, KZ_RU, KZ_KZ, UA, UA_RU, UZ, UZ_RU, AR, PY, UY, BR, CL, CO, LATIN, LATIN_EN, PE, MX), MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 60.
event61,Email Processed (e61),No,Used for CIS & LATAM Region Campaign - AA integration which counts the total number of processed emails,"Specific RS Only: JP, CIS & LATAM (RU, KZ_RU, KZ_KZ, UA, UA_RU, UZ, UZ_RU, AR, PY, UY, BR, CL, CO, LATIN, LATIN_EN, PE, MX), MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 61.
event62,Email Scheduled (e62),No,Used for CIS & LATAM Region Campaign - AA integration which counts the number of number of email messages that are scheduled for delivery.,"Specific RS Only: JP, CIS & LATAM (RU, KZ_RU, KZ_KZ, UA, UA_RU, UZ, UZ_RU, AR, PY, UY, BR, CL, CO, LATIN, LATIN_EN, PE, MX), MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 62.
event63,Email Total Bounces (e63),No,Used for CIS & LATAM Region Campaign - AA integration which counts number of email messages that were not delivered to recipients due to a delivery problem.,"Specific RS Only: JP, CIS & LATAM (RU, KZ_RU, KZ_KZ, UA, UA_RU, UZ, UZ_RU, AR, PY, UY, BR, CL, CO, LATIN, LATIN_EN, PE, MX), MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 63.
event64,Email Unique Clicks (e64),No,Used for CIS & LATAM Region Campaign - AA integration which counts number of distinct email clicks.,"Specific RS Only: JP, CIS & LATAM (RU, KZ_RU, KZ_KZ, UA, UA_RU, UZ, UZ_RU, AR, PY, UY, BR, CL, CO, LATIN, LATIN_EN, PE, MX), MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 64.
event65,Email Unique Opens (e65),No,Used for CIS & LATAM Region Campaign - AA integration which counts number of distinct email opens.,"Specific RS Only: JP, CIS & LATAM (RU, KZ_RU, KZ_KZ, UA, UA_RU, UZ, UZ_RU, AR, PY, UY, BR, CL, CO, LATIN, LATIN_EN, PE, MX), MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 65.
event66,Email Unsubscribed (e66),No,Used for CIS & LATAM Region Campaign - AA integration which counts the number of visitors who opened the email message but then clicked the Unsubscribe link to opt-out of future email messages from your organization.,"Specific RS Only: JP, CIS & LATAM (RU, KZ_RU, KZ_KZ, UA, UA_RU, UZ, UZ_RU, AR, PY, UY, BR, CL, CO, LATIN, LATIN_EN, PE, MX), MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 66.
event67,AF - Re-engagement (e67),No,Counts record of a user opening the app after engaging with a retargeting campaign.,Created : 24. 07. 02,post_event_list,Use event.tsv to match numeric values with custom event 67.
event68,Review (e68),No,Counts review related content interactions ,Pairing with evar68,post_event_list,Use event.tsv to match numeric values with custom event 68.
event69,AF - Install (e69),No,Counts shop app installs events. This event is generated when a user opens the app for the first time.,Created : 24. 06. 25,post_event_list,Use event.tsv to match numeric values with custom event 69.
event70,AF - Re-attribution (e70),No,"Counts shop app re-attributions events. Re-attribution happens when an install is generated by a user who had previously uninstalled a shop app, having come back after viewing or clicking on a re-engagement
campaign.",Created : 24. 06. 25,post_event_list,Use event.tsv to match numeric values with custom event 70.
event71,disabled,-,-,-,-,-
event72,disabled,-,-,-,-,-
event73,disabled,-,-,-,-,-
event74,disabled,-,-,-,-,-
event75,Target Marketing (e75),No,Counts any interactions related with device detection target marketing such as floating banner display and banner click,Pairing with evar75,post_event_list,Use event.tsv to match numeric values with custom event 75.
event76,disabled,-,-,-,-,-
event77,disabled,-,-,-,-,-
event78,disabled,-,-,-,-,-
event79,disabled,-,-,-,-,-
event80,disabled,-,-,-,-,-
event81,Mobile App Interaction (e81),No,Mobile app only,"Created : 19. 01. 02
Paring with evar80
Specific RS Only: TEST, SEC, CN",post_event_list,Use event.tsv to match numeric values with custom event 81.
event82,Personalized Impression (e82),No,"Counts impression for redeem points widget in Mypage Home, My Rewards page","Created : 25. 02. 27
Specific RS Only: DE, MST, MST(dev), Test",post_event_list,Use event.tsv to match numeric values with custom event 82.
event83,disabled,-,-,-,-,-
event84,Media Data(main parameter)- Impressions (e84),No,-,"Specific RS Only: RU, TEST",post_event_list,Use event.tsv to match numeric values with custom event 84.
event85,Media Data(main parameter)- Reach (e85),No,-,"Specific RS Only: RU, TEST",post_event_list,Use event.tsv to match numeric values with custom event 85.
event86,Media Data(main parameter)- Clicks (e86),No,-,"Specific RS Only: RU, TEST",post_event_list,Use event.tsv to match numeric values with custom event 86.
event87,My Credits Impression (e87),No,Count the impressions when the My Credits Toggle is shown to the user in My Rewards and My Credits pages.,"Created : 25. 05. 07
Specific RS Only: UK, MST, MST(dev), Test,  (EU Org: UK, UK(dev))",post_event_list,Use event.tsv to match numeric values with custom event 87.
event88,Media Data(main parameter)- Cost (e88),No,-,"Specific RS Only: RU, TEST",post_event_list,Use event.tsv to match numeric values with custom event 88.
event89,Media Data(plan value)- Plan Impressions (e89),No,-,"Specific RS Only: RU, TEST",post_event_list,Use event.tsv to match numeric values with custom event 89.
event90,Media Data(plan value)-- Plan Reach (e90),No,-,"Specific RS Only: RU, TEST",post_event_list,Use event.tsv to match numeric values with custom event 90.
event91,Media Data(plan value)-- Plan Clicks (e91),No,-,"Specific RS Only: RU, TEST",post_event_list,Use event.tsv to match numeric values with custom event 91.
event92,CO78 - Recommend Product (e92),No,Counts impression for CO78 component in Home and Shop page.,-,post_event_list,Use event.tsv to match numeric values with custom event 92.
event93,Media Data(plan value)-- Budget (e93),No,-,"Specific RS Only: RU, TEST",post_event_list,Use event.tsv to match numeric values with custom event 93.
event94,PDD34 - Recommend Product (e94),No,Count impressions when the PDD34 component is visible in the viewport of the PF or PD page.,-,post_event_list,Use event.tsv to match numeric values with custom event 94.
event95,Live Commerce Player Interaction (e95),No,Counts click action for live commerce player,Pairing with evar95,post_event_list,Use event.tsv to match numeric values with custom event 95.
event96,Link Tracking Taxonomy (e96),No,Counts click action data for Link Tracking Taxonomy,Pairing with evar96,post_event_list,Use event.tsv to match numeric values with custom event 96.
event97,Social Commerce Widget - Bazaarvoice (e97),No,Collects data from Bazaarvoice,"Pairing with evar97
Specific RS Only: UK, AU, BE, BR, DE, ES, FR, IT, NL, SE, US",post_event_list,Use event.tsv to match numeric values with custom event 97.
event98,Undefined,-,-,-,-,-
,disabled,No,-,,,
,disabled,No,-,,,
event101,Platform Sales (e101),Yes,"This metric shows the amount of Orders adjusted via Hybris API integration, which Adobe Analytics could not capture on its own.
Event 101 is included as part of the Order metric.","Created : 19. 01. 24
Hybris countries only",post_event_list,Use event.tsv to match numeric values with custom event 101.
event102,Platform Revenue (e102),No,Collect revenue data when shop (platform) data is integrated,"Created : 19. 01. 24
Specific RS Only: UK, MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 102.
event103,Platform Cancellations (e103),No,Count cancellation data when shop (platform) data is integrated,"Created : 19. 01. 24
Specific RS Only: UK, MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 103.
event104,Platform Cancellations (Revenue) (e104),No,Collect revenue of cancellation shop (platform) data is integrated,"Created : 19. 01. 24
Specific RS Only: UK, MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 104.
event105,Platform Returns (e105),No,Count return data when shop (platform) data is integrated,"Created : 19. 01. 24
Specific RS Only: UK, MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 105.
event106,Platform Returns (Revenue) (e106),No,Collect revenue of return when shop (platform) data is integrated,"Created : 19. 01. 24
Specific RS Only: UK, MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 106.
event107,Mouse Hover (e107),No,Collect mouse hover data on UK Home L0 menu,"Created : 22. 10. 18
Specific RS Only: UK, MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 107.
event108,Instore mode Content Click (e108),No,Count click action data for instore page.,"Created : 23. 09. 07
Pairing with evar108
Specific RS Only: IN, MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 108.
event109,Time Spent on Content (e109),No,Tracks times users spent on consuming contents,"Created : 21. 06. 11
Paring with evar90",post_event_list,Use event.tsv to match numeric values with custom event 109.
event110,Community Search Result Click (e110),No,Counts click events for Seach result page contents of Community site,Created : 21. 01. 13,post_event_list,Use event.tsv to match numeric values with custom event 110.
event111,Community Search (e111),No,Triggered if there are search results in Community site,Created : 21. 01. 13,post_event_list,Use event.tsv to match numeric values with custom event 111.
event112,Community Search Fail (e112),No,Triggered if there is no search result in Community site,Created : 21. 01. 13,post_event_list,Use event.tsv to match numeric values with custom event 112.
event113,Request ID (e113),No,Collects Request ID of recommended products,Created : 23. 09. 11,post_event_list,Use event.tsv to match numeric values with custom event 113.
event114,Delivery Date (e114),No,Triggered when landing on PD page and collects delivery date of user by option,"Created : 22. 10. 14
Paring with evar114",post_event_list,Use event.tsv to match numeric values with custom event 114.
event115,Owned Product (e115),No,"Counts the event that collects the latest product’s model name and model code from Personalized Offering(PO) banner (usp, your message, banner,..etc)","Created : 24. 01. 29
Pairing with evar115",post_event_list,Use event.tsv to match numeric values with custom event 115.
event116,Undefined,-,-,-,-,-
event117,Undefined,-,-,-,-,-
event118,Undefined,-,-,-,-,-
event119,Undefined,-,-,-,-,-
event120,Undefined,-,-,-,-,-
event121,Undefined,-,-,-,-,-
event122,Undefined,-,-,-,-,-
event123,Undefined,-,-,-,-,-
event124,Undefined,-,-,-,-,-
event125,Page Speed - TTI (e125),No,Collects page speed - TTI,-,post_event_list,Use event.tsv to match numeric values with custom event 125.
event126,Page Speed - Page Load Time (e126),No,Collects page speed - Page Load Time,-,post_event_list,Use event.tsv to match numeric values with custom event 126.
event127,Product Recommendation (e127),No,Collects information of product recommendation,"Created : 23. 05. 19
pairing with evar127
Specific RS Only: UK, MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 127.
event128,Live Stream Join (e128),No,Counts the number of Live Stream join views,Created : 24. 04. 26,post_event_list,Use event.tsv to match numeric values with custom event 128.
event129,Live Stream Quit (e129),No,Counts the number of Live Stream quit views,Created : 24. 04. 26,post_event_list,Use event.tsv to match numeric values with custom event 129.
event130,Encrypted Email (e130),No,Collects user's email which is encrypted.,"Created : 24. 03. 27
pairing with eVar130
Specific RS Only: MST, MST(dev), TEST, CO,  CL, MX, AR, BR, PE",post_event_list,Use event.tsv to match numeric values with custom event 130.
event131,Undefined,-,-,-,-,-
event132,Undefined,-,-,-,-,-
event133,Undefined,-,-,-,-,-
event134,Undefined,-,-,-,-,-
event135,Undefined,-,-,-,-,-
event136,Personalized Offering (e136),No,"Counts Upsell/cross-sell, model category, product name, cs repair history, rewards, SKU information about registered product for Personalized Offering banner (data sent from BDC API)","Created : 24. 05. 23
pairing with eVar136",post_event_list,Use event.tsv to match numeric values with custom event 136.
event137,Owned Product List (e137),No,Counts Owned product list (model name and model code) from Registered product card (My page),"Created : 24. 05. 27
pairing with eVar137",post_event_list,Use event.tsv to match numeric values with custom event 137.
event138,Undefined,-,-,-,-,-
event139,Product Cart Addition (e139),No,Collects Model Code during the product cart addition,"Created : 23. 06. 19
pairing with evar139
Specific RS Only: FR,  MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 139.
event140,disabled,-,-,-,-,-
event141,My SmartThings Impression (e141),No,"Counts first shown message from MYD12 your message or contents title from smartthings banner. 
# PII data including user’s name should not be collected.",Created : 24. 10. 30,post_event_list,Use event.tsv to match numeric values with custom event 141.
event142,disabled,-,-,-,-,-
event143,Undefined,-,-,-,-,-
event144,Undefined,-,-,-,-,-
event145,Undefined,-,-,-,-,-
event146,Undefined,-,-,-,-,-
event147,Undefined,-,-,-,-,-
event148,Undefined,-,-,-,-,-
event149,Undefined,-,-,-,-,-
event150,Undefined,-,-,-,-,-
….,-,-,-,-,-,-
event180,Category from BDC (v180),No,Count when 'categorySubTypeEngName' information in BDC API is collected.,"Created : 24. 12. 26
pairing with eVar180",post_event_list,Use event.tsv to match numeric values with custom event 180.
event181,Page type from BDC (e181),No,Count when 'pageType' information in BDC API is collected.,"Created : 25. 4. 25
pairing with eVar181",post_event_list,Use event.tsv to match numeric values with custom event 181.
….,-,-,-,-,-,-
